"First name";"Last name";"Birth date";"Nationality";"Preferred language";"Address line 1";"Address line 2";"Postal code";"City";"Country code";"Email";"Phone number";"Comment";"Guest comment";"Travel purpose";"Amount of guests";"Amount of adults";"Amount of children";"Check in date";"Check in time";"Check out date";"Check out time";"Unit group";"Unit";"External code";"Channel";"Source";"Rate plan";"Credit card number";"Gross amount";"ID";"Property code";"Booking ID";"Status";"Created at";"Arrival";"Departure";"Number of days";"Guarantee type";"Balance";"Currency";"Company";"Commission";"Price before commission";"Promo code";"Corporate code";"Room move";"Cancellation date";"Cancellation time";"No-show date";"No-show time"
"Levi";"Hansen";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+levi.hansen@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"G.006";"";"Direct";"";"Non Refundable";"1111";130;"JCFLLHLJ-1";"LND";"JCFLLHLJ";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Prepayment";-130;"GBP";"";"";"";"";"";"";"";"";"";""
"Tyler";"Harvey";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+tyler.harvey@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Family room";"3.002";"";"Direct";"";"Non Refundable Family";"1111";287;"LVLFIYBS-1";"LND";"LVLFIYBS";"Confirmed";"15/10/2021";"16/10/2021";"18/10/2021";2;"Prepayment";-287;"GBP";"";"";"";"";"";"";"";"";"";""
"Yvonne";"Hermann";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+yvonne.hermann@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"3.015";"";"Direct";"";"Non Refundable";"1111";71;"SPDYSGXJ-1";"VIE";"SPDYSGXJ";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Prepayment";-71;"EUR";"";"";"";"";"";"";"";"";"";""
"Ibrahim";"Hohn";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+ibrahim.hohn@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.006";"";"Direct";"";"Non Refundable";"1111";409;"ISUDVCQL-1";"VIE";"ISUDVCQL";"Confirmed";"15/10/2021";"16/10/2021";"21/10/2021";5;"Prepayment";-409;"EUR";"";"";"";"";"";"";"";"";"";""
"Helen";"Kraus";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+helen.kraus@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"4.019";"";"Direct";"";"Include Breakfast";"1111";438;"RKWHOYRE-1";"VIE";"RKWHOYRE";"Confirmed";"15/10/2021";"16/10/2021";"20/10/2021";4;"Credit Card";-438;"EUR";"";"";"";"";"";"";"";"";"";""
"Antonia";"Matthes";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+antonia.matthes@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Family room";"3.002";"";"Direct";"";"Non Refundable Family";"1111";128;"XOSKRNZO-1";"MUC";"XOSKRNZO";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Prepayment";-128;"EUR";"";"";"";"";"";"";"";"";"";""
"Luis";"Sonnabend";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+luis.sonnabend@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"3.019";"";"Direct";"";"Non Refundable";"1111";150;"VRPTSVHY-1";"VIE";"VRPTSVHY";"Confirmed";"15/10/2021";"16/10/2021";"18/10/2021";2;"Prepayment";-150;"EUR";"";"";"";"";"";"";"";"";"";""
"Marit";"Uhrig";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+marit.uhrig@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"G.005";"";"Direct";"";"Include Breakfast";"1111";133;"SASNHBPE-1";"MUC";"SASNHBPE";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Credit Card";-133;"EUR";"";"";"";"";"";"";"";"";"";""
"Glenna";"Watsica";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+glenna.watsica@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.006";"";"Direct";"";"Non Refundable";"1111";130;"GFJDEKEN-1";"LND";"GFJDEKEN";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Prepayment";-130;"GBP";"";"";"";"";"";"";"";"";"";""
"Abigayle";"Zulauf";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+abigayle.zulauf@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.015";"";"Direct";"";"Include Breakfast";"1111";175;"VAUGQFRL-1";"LND";"VAUGQFRL";"Confirmed";"15/10/2021";"16/10/2021";"17/10/2021";1;"Credit Card";-175;"GBP";"";"";"";"";"";"";"";"";"";""
"Frederike";"Burkhardt";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+frederike.burkhardt@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.019";"";"Direct";"";"Non Refundable";"1111";181;"XZLMJPDR-1";"VIE";"XZLMJPDR";"Confirmed";"15/10/2021";"17/10/2021";"19/10/2021";2;"Prepayment";-181;"EUR";"";"";"";"";"";"";"";"";"";""
"Finley";"Buss";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+finley.buss@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"G.019";"";"Direct";"";"Include Breakfast";"1111";350;"HLDRXRJP-1";"BER";"HLDRXRJP";"Confirmed";"15/10/2021";"17/10/2021";"20/10/2021";3;"Credit Card";-350;"EUR";"";"";"";"";"";"";"";"";"";""
"Henning";"Franz";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+henning.franz@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"2.005";"";"Direct";"";"Include Breakfast";"1111";172;"FFYUAEFJ-1";"MUC";"FFYUAEFJ";"Confirmed";"15/10/2021";"17/10/2021";"18/10/2021";1;"Credit Card";-172;"EUR";"";"";"";"";"";"";"";"";"";""
"Rogers";"Halvorson";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+rogers.halvorson@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.006";"";"Direct";"";"Non Refundable";"1111";514;"RZUHIVOM-1";"LND";"RZUHIVOM";"Confirmed";"15/10/2021";"17/10/2021";"21/10/2021";4;"Prepayment";-514;"GBP";"";"";"";"";"";"";"";"";"";""
"Paulina";"Harnapp";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+paulina.harnapp@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"4.003";"";"Direct";"";"Non Refundable";"1111";49;"HGMIIFXS-1";"VIE";"HGMIIFXS";"Confirmed";"15/10/2021";"17/10/2021";"18/10/2021";1;"Prepayment";-49;"EUR";"";"";"";"";"";"";"";"";"";""
"Hamza";"Heinke";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+hamza.heinke@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"4.012";"";"Direct";"";"Non Refundable";"1111";56;"IGUMSPXK-1";"BER";"IGUMSPXK";"Confirmed";"15/10/2021";"17/10/2021";"18/10/2021";1;"Prepayment";-56;"EUR";"";"";"";"";"";"";"";"";"";""
"Oscar";"Knabe";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+oscar.knabe@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"4.014";"";"Direct";"";"Non Refundable";"1111";86;"HDWLSZWC-1";"BER";"HDWLSZWC";"Confirmed";"15/10/2021";"17/10/2021";"18/10/2021";1;"Prepayment";-86;"EUR";"";"";"";"";"";"";"";"";"";""
"Mayra";"Merseburg";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+mayra.merseburg@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"4.018";"";"Direct";"";"Non Refundable";"1111";381;"DKSOFUCR-1";"BER";"DKSOFUCR";"Confirmed";"15/10/2021";"17/10/2021";"24/10/2021";7;"Prepayment";-381;"EUR";"";"";"";"";"";"";"";"";"";""
"Gina";"Porsche";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+gina.porsche@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"G.011";"";"Direct";"";"Non Refundable";"1111";142;"CIDWWYMG-1";"MUC";"CIDWWYMG";"Confirmed";"15/10/2021";"17/10/2021";"18/10/2021";1;"Prepayment";-142;"EUR";"";"";"";"";"";"";"";"";"";""
"Kimberly";"Vona";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+kimberly.vona@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"4.020";"";"Direct";"";"Include Breakfast";"1111";116;"IEDKELVU-1";"BER";"IEDKELVU";"Confirmed";"15/10/2021";"17/10/2021";"18/10/2021";1;"Credit Card";-116;"EUR";"";"";"";"";"";"";"";"";"";""
"Lio";"Bäcker";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+lio.bäcker@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"2.009";"";"Direct";"";"Non Refundable";"1111";752;"JMFBBSAJ-1";"VIE";"JMFBBSAJ";"Confirmed";"15/10/2021";"18/10/2021";"27/10/2021";9;"Prepayment";-752;"EUR";"";"";"";"";"";"";"";"";"";""
"Eleazar";"Bartell";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+eleazar.bartell@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"2.011";"";"Direct";"";"Non Refundable";"1111";126;"MILCZHCZ-1";"LND";"MILCZHCZ";"Confirmed";"15/10/2021";"18/10/2021";"19/10/2021";1;"Prepayment";-126;"GBP";"";"";"";"";"";"";"";"";"";""
"Jessy";"Gutkowski";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+jessy.gutkowski@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.012";"";"Direct";"";"Non Refundable";"1111";822;"IXXOUZPU-1";"LND";"IXXOUZPU";"Confirmed";"15/10/2021";"18/10/2021";"25/10/2021";7;"Prepayment";-822;"GBP";"";"";"";"";"";"";"";"";"";""
"Brando";"Hodkiewicz";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+brando.hodkiewicz@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Family room";"3.001";"";"Direct";"";"Non Refundable Family";"1111";131;"COWYNRPH-1";"LND";"COWYNRPH";"Confirmed";"15/10/2021";"18/10/2021";"19/10/2021";1;"Prepayment";-131;"GBP";"";"";"";"";"";"";"";"";"";""
"Norman";"Sihler";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+norman.sihler@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"3.004";"";"Direct";"";"Non Refundable";"1111";92;"UWSYBKHN-1";"BER";"UWSYBKHN";"Confirmed";"15/10/2021";"18/10/2021";"19/10/2021";1;"Prepayment";-92;"EUR";"";"";"";"";"";"";"";"";"";""
"Ayman";"Sommer";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+ayman.sommer@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"4.016";"";"Direct";"";"Non Refundable";"1111";174;"AFAHOASA-1";"BER";"AFAHOASA";"Confirmed";"15/10/2021";"18/10/2021";"20/10/2021";2;"Prepayment";-174;"EUR";"";"";"";"";"";"";"";"";"";""
"Karolina";"Striezel";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+karolina.striezel@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"G.020";"";"Direct";"";"Non Refundable";"1111";92;"OSSDJLHY-1";"BER";"OSSDJLHY";"Confirmed";"15/10/2021";"18/10/2021";"19/10/2021";1;"Prepayment";-92;"EUR";"";"";"";"";"";"";"";"";"";""
"Nikolai";"Wiegelmann";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+nikolai.wiegelmann@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Family room";"3.001";"";"Direct";"";"Non Refundable Family";"1111";177;"YGPIFQWC-1";"MUC";"YGPIFQWC";"Confirmed";"15/10/2021";"18/10/2021";"19/10/2021";1;"Prepayment";-177;"EUR";"";"";"";"";"";"";"";"";"";""
"Marina";"Bloch";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+marina.bloch@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"2.014";"";"Direct";"";"Flexible";"1111";305;"CZGXRQJK-1";"BER";"CZGXRQJK";"Confirmed";"15/10/2021";"19/10/2021";"22/10/2021";3;"Credit Card";-305;"EUR";"";"";"";"";"";"";"";"";"";""
"Marina";"Dyett";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+marina.dyett@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.015";"";"Direct";"";"Flexible";"1111";112;"FBKYTWAZ-1";"BER";"FBKYTWAZ";"Confirmed";"15/10/2021";"19/10/2021";"20/10/2021";1;"Credit Card";-112;"EUR";"";"";"";"";"";"";"";"";"";""
"Collin";"Schwarz";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+collin.schwarz@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"3.019";"";"Direct";"";"Flexible";"1111";116;"TBWPBWYV-1";"VIE";"TBWPBWYV";"Confirmed";"15/10/2021";"19/10/2021";"20/10/2021";1;"Credit Card";-116;"EUR";"";"";"";"";"";"";"";"";"";""
"Jena";"Frami";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+jena.frami@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Family room";"3.002";"";"Direct";"";"Flexible Family";"1111";150;"HXFNTECG-1";"LND";"HXFNTECG";"Confirmed";"15/10/2021";"20/10/2021";"21/10/2021";1;"Credit Card";-150;"GBP";"";"";"";"";"";"";"";"";"";""
"Rebekka";"Grüner";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+rebekka.grüner@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"3.012";"";"Direct";"";"Flexible";"1111";60;"EXZMFLCR-1";"BER";"EXZMFLCR";"Confirmed";"15/10/2021";"20/10/2021";"21/10/2021";1;"Credit Card";-60;"EUR";"";"";"";"";"";"";"";"";"";""
"Malia";"Schöckel";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+malia.schöckel@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.009";"";"Direct";"";"Flexible";"1111";1055;"YCZBCBTZ-1";"MUC";"YCZBCBTZ";"Confirmed";"15/10/2021";"20/10/2021";"28/10/2021";8;"Credit Card";-1055;"EUR";"";"";"";"";"";"";"";"";"";""
"Lukas";"Töpfer";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+lukas.töpfer@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"3.010";"";"Direct";"";"Include Breakfast";"1111";569;"UOCIGZNM-1";"VIE";"UOCIGZNM";"Confirmed";"15/10/2021";"20/10/2021";"25/10/2021";5;"Credit Card";-569;"EUR";"";"";"";"";"";"";"";"";"";""
"Leroy";"Böttner";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+leroy.böttner@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"G.019";"";"Direct";"";"Include Breakfast";"1111";219;"DDSLRYZI-1";"VIE";"DDSLRYZI";"Confirmed";"15/10/2021";"21/10/2021";"23/10/2021";2;"Credit Card";-219;"EUR";"";"";"";"";"";"";"";"";"";""
"Jonna";"Gerschler";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+jonna.gerschler@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"G.005";"";"Direct";"";"Non Refundable";"1111";95;"YWDJVUJH-1";"VIE";"YWDJVUJH";"Confirmed";"15/10/2021";"21/10/2021";"22/10/2021";1;"Prepayment";-95;"EUR";"";"";"";"";"";"";"";"";"";""
"Bianca";"Gotz";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+bianca.gotz@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"3.015";"";"Direct";"";"Non Refundable";"1111";179;"RELVATPR-1";"VIE";"RELVATPR";"Confirmed";"15/10/2021";"21/10/2021";"23/10/2021";2;"Prepayment";-179;"EUR";"";"";"";"";"";"";"";"";"";""
"Fritz";"Honz";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+fritz.honz@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"2.020";"";"Direct";"";"Non Refundable";"1111";291;"PQRIJBOG-1";"BER";"PQRIJBOG";"Confirmed";"15/10/2021";"21/10/2021";"24/10/2021";3;"Prepayment";-291;"EUR";"";"";"";"";"";"";"";"";"";""
"Klara";"Faulhaber";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+klara.faulhaber@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"4.016";"";"Direct";"";"Include Breakfast";"1111";363;"NCAJSZPB-1";"VIE";"NCAJSZPB";"Confirmed";"15/10/2021";"22/10/2021";"25/10/2021";3;"Credit Card";-363;"EUR";"";"";"";"";"";"";"";"";"";""
"Matilda";"Nagel";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+matilda.nagel@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"4.020";"";"Direct";"";"Flexible";"1111";94;"UHZJMBQW-1";"VIE";"UHZJMBQW";"Confirmed";"15/10/2021";"22/10/2021";"23/10/2021";1;"Credit Card";-94;"EUR";"";"";"";"";"";"";"";"";"";""
"Erik";"Seiders";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+erik.seiders@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.005";"";"Direct";"";"Flexible";"1111";228;"RIQZAPPC-1";"BER";"RIQZAPPC";"Confirmed";"15/10/2021";"22/10/2021";"24/10/2021";2;"Credit Card";-228;"EUR";"";"";"";"";"";"";"";"";"";""
"Francesca";"Diedrich";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+francesca.diedrich@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Family room";"3.002";"";"Direct";"";"Flexible Family";"1111";187;"WQGXVHPZ-1";"MUC";"WQGXVHPZ";"Confirmed";"15/10/2021";"24/10/2021";"25/10/2021";1;"Credit Card";-187;"EUR";"";"";"";"";"";"";"";"";"";""
"Celina";"Scheer";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+celina.scheer@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"G.009";"";"Direct";"";"Non Refundable";"1111";752;"WKSVJSDG-1";"BER";"WKSVJSDG";"Confirmed";"15/10/2021";"24/10/2021";"1/11/2021";8;"Prepayment";-752;"EUR";"";"";"";"";"";"";"";"";"";""
"Ana";"Urbaniak";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+ana.urbaniak@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.006";"";"Direct";"";"Include Breakfast";"1111";232;"DODGCTII-1";"VIE";"DODGCTII";"Confirmed";"15/10/2021";"24/10/2021";"26/10/2021";2;"Credit Card";-232;"EUR";"";"";"";"";"";"";"";"";"";""
"Yven";"Bos";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+yven.bos@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Family room";"3.002";"";"Direct";"";"Non Refundable Family";"1111";254;"KSGWXRAC-1";"MUC";"KSGWXRAC";"Confirmed";"15/10/2021";"25/10/2021";"27/10/2021";2;"Prepayment";-254;"EUR";"";"";"";"";"";"";"";"";"";""
"Alice";"Eleyth";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+alice.eleyth@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"1.010";"";"Direct";"";"Non Refundable";"1111";178;"ZQEBUJGH-1";"MUC";"ZQEBUJGH";"Confirmed";"15/10/2021";"28/10/2021";"30/10/2021";2;"Prepayment";-178;"EUR";"";"";"";"";"";"";"";"";"";""
